Номер,Тип,Модель,Типоразмер,Диаметр ММ,Производительность м3/ч,Давление(па),Мощность(ВТ),Уровень шума,Цена в рублях
56,УВОП,УВОП-А-8-4,УВОП-А-8-4,816,41400 - 133200,510 - 155,4000,94,535 600
57,УВОП,УВОП-Б-8-4,УВОП-Б-8-4,816,54720 - 147600,520 - 190,5500,93,682 400
58,УВОП,УВОП-В-8-4,УВОП-В-8-4,816,69120 - 165600,530 - 250,5500,92,795 800
59,УВОП,УВОП-Г-8-4,УВОП-Г-8-4,816,86400 - 176400,615 - 270,7500,93,218 700
60,УВОП,УВОП-Д-8-4,УВОП-Д-8-4,816,84600 - 144000,680 - 180,7500,95,275 300
61,УВОП,УВОП-Е-8-4,УВОП-Е-8-4,816,103680 - 183600,610 - 290,11000,94,332 100
62,УВОП,УВОП-Ж-8-4,УВОП-Ж-8-4,816,98280 - 162000,700 - 230,11000,95,410 500
63,УВОП,УВОП-А-8-2,УВОП-А-8-2,816,63000 - 151200,1150 - 180,11000,102,478 900
64,УВОП,УВОП-Б-8-2,УВОП-Б-8-2,816,79200 - 198000,1310 - 300,15000,104,582 600
65,УВОП,УВОП-В-8-2,УВОП-В-8-2,816,100800 - 216000,1330 - 400,18500,106,748 200
66,УВОП,УВОП-Г-8-2,УВОП-Г-8-2,816,97200 - 223200,1360 - 490,22000,107,876 500
67,УВОП,УВОП-Д-8-2,УВОП-Д-8-2,816,79200 - 191520,1530 - 286,18500,108,245 800
68,УВОП,УВОП-Е-8-2,УВОП-Е-8-2,816,100800 - 236880,1480 - 515,22000,109,298 400
69,УВОП,УВОП-А-10-6,УВОП-А-10-6,1016,28800 - 64800,170 - 20,750,82,365 200
70,УВОП,УВОП-Б-10-6,УВОП-Б-10-6,1016,43200 - 90000,190 - 30,1100,84,442 700
71,УВОП,УВОП-В-10-6,УВОП-В-10-6,1016,50400 - 118800,220 - 50,2200,87,518 900
72,УВОП,УВОП-Г-10-6,УВОП-Г-10-6,1016,64800 - 136800,220 - 70,2200,89,643 100
73,УВОП,УВОП-Д-10-6,УВОП-Д-10-6,1016,75600 - 165600,250 - 100,3000,91,792 500
74,УВОП,УВОП-Е-10-6,УВОП-Е-10-6,1016,86400 - 183600,260 - 125,4000,92,910 300
75,УВОП,УВОП-А-10-4,УВОП-А-10-4,1016,43200 - 100800,400 - 38,3000,91,289 600
76,УВОП,УВОП-Б-10-4,УВОП-Б-10-4,1016,57600 - 136800,450 - 70,4000,94,345 800
77,УВОП,УВОП-В-10-4,УВОП-В-10-4,1016,86400 - 180000,500 - 120,5500,96,418 300
78,УВОП,УВОП-Г-10-4,УВОП-Г-10-4,1016,100800 - 212400,520 - 170,7500,98,502 700
79,УВОП,УВОП-Д-10-4,УВОП-Д-10-4,1016,118800 - 252000,580 - 230,11000,100,585 400
80,УВОП,УВОП-Е-10-4,УВОП-Е-10-4,1016,133200 - 284400,600 - 290,15000,101,712 900
81,УВОП,"УВОП-А-12,5-6","УВОП-А-12,5-6",1266,86400 - 193320,350 - 90,5500,94,885 600
82,УВОП,"УВОП-Б-12,5-6","УВОП-Б-12,5-6",1266,118800 - 238680,400 - 140,7500,96,1 025 800
83,УВОП,"УВОП-В-12,5-6","УВОП-В-12,5-6",1266,147600 - 298440,440 - 220,11000,98,324 500
84,УВОП,"УВОП-Г-12,5-6","УВОП-Г-12,5-6",1266,162000 - 337320,430 - 280,15000,100,389 200
85,УВОП,"УВОП-А-12,5-4","УВОП-А-12,5-4",1266,136800 - 257760,760 - 165,15000,101,475 800
86,УВОП,"УВОП-Б-12,5-4","УВОП-Б-12,5-4",1266,165600 - 331320,900 - 270,22000,105,567 400
87,УВОП,"УВОП-В-12,5-4","УВОП-В-12,5-4",1266,198000 - 396000,935 - 390,30000,106,658 900
88,УВОП,"УВОП-Г-12,5-4","УВОП-Г-12,5-4",1266,216000 - 453600,990 - 510,45000,108,805 200
89,УВОП,"УВОП-Д-12,5-4","УВОП-Д-12,5-4",1266,205200 - 432000,1130 - 460,37000,110,992 700
90,ВО,ВО 13-284-4/15°-4,ВО 13-284-4/15°-4,400,900 - 2520,52 - 22,120,82,1 140 300
91,ВО,ВО 13-284-4/20°-4,ВО 13-284-4/20°-4,400,1296 - 2952,59 - 33,120,87,358 700
92,ВО,ВО 13-284-4/25°-4,ВО 13-284-4/25°-4,400,1908 - 3420,62 - 43,120,88,428 900
93,ВО,ВО 13-284-4/30°-4,ВО 13-284-4/30°-4,400,2592 - 3960,65 - 55,120,91,515 600
94,ВО,ВО 13-284-4/15°-4,ВО 13-284-4/15°-4,400,1836 - 5040,209 - 90,250,94,624 300
95,ВО,ВО 13-284-4/20°-4,ВО 13-284-4/20°-4,400,2664 - 5760,240 - 131,370,91,735 800
96,ВО,ВО 13-284-4/25°-4,ВО 13-284-4/25°-4,400,3636 - 6840,250 - 175,550,92,912 400
97,ВО,ВО 13-284-4/30°-4,ВО 13-284-4/30°-4,400,5040 - 7560,260 - 220,550,95,1 128 500
98,ВО,ВО 13-284-6/15°-4,ВО 13-284-6/15°-4,630,1044 - 2520,69 - 26,120,82,1 310 600
99,ВО,ВО 13-284-6/20°-4,ВО 13-284-6/20°-4,630,1296 - 3168,75 - 39,120,87,412 300
100,ВО,ВО 13-284-6/25°-4,ВО 13-284-6/25°-4,630,1872 - 3600,82 - 51,120,88,495 600
101,ВО,ВО 13-284-6/30°-4,ВО 13-284-6/30°-4,630,2448 - 4068,87 - 63,120,91,589 700
102,ВО,ВО 13-284-6/15°-4,ВО 13-284-6/15°-4,630,2088 - 5292,280 - 105,370,94,702 400
103,ВО,ВО 13-284-6/20°-4,ВО 13-284-6/20°-4,630,2592 - 6372,308 - 155,550,91,825 100
104,ВО,ВО 13-284-6/25°-4,ВО 13-284-6/25°-4,630,3960 - 7560,345 - 213,750,92,1 028 900
105,ВО,ВО 13-284-6/30°-4,ВО 13-284-6/30°-4,630,5040 - 8280,365 - 264,1100,95,1 275 300
106,ВО,ВО 13-284-8/20°-4,ВО 13-284-8/20°-4,800,1476 - 3312,85 - 41,250,86,1 480 700
107,ВО,ВО 13-284-8/25°-4,ВО 13-284-8/25°-4,800,1764 - 3960,97 - 56,250,88,17 200
108,ВО,ВО 13-284-8/30°-4,ВО 13-284-8/30°-4,800,2592 - 4320,100 - 68,250,91,18 900
109,ВО,ВО 13-284-8/20°-4,ВО 13-284-8/20°-4,800,2952 - 6480,350 - 167,550,91,20 400
110,ВО,ВО 13-284-8/25°-4,ВО 13-284-8/25°-4,800,3600 - 7920,410 - 235,1100,96,23 800
111,ВО,ВО 13-284-8/30°-4,ВО 13-284-8/30°-4,800,5328 - 8640,420 - 282,1100,96,28 500
112,ВО,ВО 13-284-10/20°-4,ВО 13-284-10/20°-4,1000,1512 - 3384,95 - 44,250,86,32 100
113,ВО,ВО 13-284-10/25°-4,ВО 13-284-10/25°-4,1000,1836 - 3960,110 - 61,250,88,38 700
114,ВО,ВО 13-284-10/30°-4,ВО 13-284-10/30°-4,1000,2628 - 4320,110 - 71,250,91,45 200
115,ВО,ВО 13-284-10/20°-4,ВО 13-284-10/20°-4,1000,2988 - 6840,380 - 177,550,91,51 800
116,ВО,ВО 13-284-10/25°-4,ВО 13-284-10/25°-4,1000,3600 - 8280,465 - 254,1100,96,60 300
117,ВО,ВО 13-284-10/30°-4,ВО 13-284-10/30°-4,1000,5400 - 8640,467 - 297,1100,96,29 100
118,ВЦ,ВЦ 14-46-2-АИР56В4,АИР56В4,200,605 - 874,256 - 266,180,59,2000
119,ВЦ,ВЦ 14-46-2-АИР56В4-01,АИР56В4,200,645 - 922,272 - 276,180,61,1700
120,ВЦ,ВЦ 14-46-2-АИР56В4-02,АИР56В4,200,555 - 831,242 - 251,180,64,1600
121,ВЦ,ВЦ 14-46-2-АИР56В4-03,АИР56В4,200,676 - 1027,283 - 308,180,64,1700
122,ВЦ,ВЦ 14-46-2-АИР56В4-04,АИР56В4,200,570 - 897,250 - 256,180,59,1700
123,ВЦ,ВЦ 14-46-2-АИР63А4,АИР63А4,200,594 - 1134,253 - 264,250,59,2600
124,ВЦ,ВЦ 14-46-2-АИР63А4-01,АИР63А4,200,625 - 1211,278 - 280,250,63,2300
125,ВЦ,ВЦ 14-46-2-АИР63А4-02,АИР63А4,200,559 - 1029,235 - 241,250,59,2500
126,ВЦ,ВЦ 14-46-2-АИР63А4-03,АИР63А4,200,687 - 1279,290 - 303,250,60,2100
127,ВЦ,ВЦ 14-46-2-АИР63А4-04,АИР63А4,200,572 - 1100,259 - 259,250,60,2200
128,ВЦ,ВЦ 14-46-2-АИР63В4,АИР63В4,200,591 - 1147,256 - 272,370,72,2400
129,ВЦ,ВЦ 14-46-2-АИР63В4-01,АИР63В4,200,623 - 1227,266 - 284,370,69,2600
130,ВЦ,ВЦ 14-46-2-АИР63В4-02,АИР63В4,200,538 - 1084,240 - 247,370,67,2800
131,ВЦ,ВЦ 14-46-2-АИР63В4-03,АИР63В4,200,668 - 1320,290 - 293,370,67,2900
132,ВЦ,ВЦ 14-46-2-АИР63В4-04,АИР63В4,200,583 - 1132,251 - 258,370,69,2400
133,ВЦ,ВЦ 14-46-2-АИР80А2,АИР80А2,200,1339 - 2001,1171 - 1216,1500,71,6300
134,ВЦ,ВЦ 14-46-2-АИР80А2-01,АИР80А2,200,1337 - 2123,1267 - 1303,1500,79,8600
135,ВЦ,ВЦ 14-46-2-АИР80А2-02,АИР80А2,200,1198 - 1892,1116 - 1128,1500,71,7700
136,ВЦ,ВЦ 14-46-2-АИР80А2-03,АИР80А2,200,1459 - 2209,1355 - 1367,1500,76,6300
137,ВЦ,ВЦ 14-46-2-АИР80А2-04,АИР80А2,200,1223 - 1966,1179 - 1247,1500,72,7200
138,ВЦ,ВЦ 14-46-2-АИР80В2,АИР80В2,200,1269 - 2519,1201 - 1225,2200,73,8400
139,ВЦ,ВЦ 14-46-2-АИР80В2-01,АИР80В2,200,1386 - 2631,1262 - 1281,2200,70,10100
140,ВЦ,ВЦ 14-46-2-АИР80В2-02,АИР80В2,200,1195 - 2246,1095 - 1136,2200,74,8800
141,ВЦ,ВЦ 14-46-2-АИР80В2-03,АИР80В2,200,1433 - 2811,1310 - 1363,2200,71,11500
142,ВЦ,ВЦ 14-46-2-АИР80В2-04,АИР80В2,200,1263 - 2371,1175 - 1195,2200,72,8900
143,ВЦ,ВЦ 14-46-25-АИР71А4,АИР71А4,250,1125 - 1792,423 - 501,550,67,4600
144,ВЦ,ВЦ 14-46-25-АИР71А4-01,АИР71А4,250,1148 - 1909,448 - 538,550,71,3600
145,ВЦ,ВЦ 14-46-25-АИР71А4-02,АИР71А4,250,995 - 1640,398 - 453,550,67,3400
146,ВЦ,ВЦ 14-46-25-АИР71А4-03,АИР71А4,250,1247 - 1963,469 - 544,550,69,3500
147,ВЦ,ВЦ 14-46-25-АИР71А4-04,АИР71А4,250,1050 - 1764,410 - 474,550,71,3800
148,ВЦ,ВЦ 14-46-25-АИР71В4,АИР71В4,250,1098 - 2188,420 - 515,750,69,4800
149,ВЦ,ВЦ 14-46-25-АИР71В4-01,АИР71В4,250,1153 - 2342,456 - 551,750,65,4100
150,ВЦ,ВЦ 14-46-25-АИР71В4-02,АИР71В4,250,1026 - 2061,386 - 461,750,72,4800
151,ВЦ,ВЦ 14-46-25-АИР71В4-03,АИР71В4,250,1226 - 2431,474 - 586,750,71,5500
152,ВЦ,ВЦ 14-46-25-АИР71В4-04,АИР71В4,250,1090 - 2083,421 - 496,750,64,5800
153,ВЦ,ВЦ 14-46-25-АИР90L2,АИР90L2,250,2461 - 2756,1911 - 1998,3000,73,15200
154,ВЦ,ВЦ 14-46-25-АИР90L2-01,АИР90L2,250,2581 - 2778,1986 - 2086,3000,77,12200
155,ВЦ,ВЦ 14-46-25-АИР90L2-02,АИР90L2,250,2234 - 2518,1825 - 1858,3000,77,11500
156,ВЦ,ВЦ 14-46-25-АИР90L2-03,АИР90L2,250,2655 - 3109,2194 - 2246,3000,75,11000
157,ВЦ,ВЦ 14-46-25-АИР90L2-04,АИР90L2,250,2340 - 2619,1900 - 1932,3000,78,11200
158,ВЦ,ВЦ 14-46-25-АИР100S2,АИР100S2,250,2355 - 3419,1970 - 2165,4000,71,20000
159,ВЦ,ВЦ 14-46-25-АИР100S2-01,АИР100S2,250,2531 - 3587,1991 - 2252,4000,80,17700
160,ВЦ,ВЦ 14-46-25-АИР100S2-02,АИР100S2,250,2211 - 3210,1762 - 2050,4000,73,15600
161,ВЦ,ВЦ 14-46-25-АИР100S2-03,АИР100S2,250,2628 - 3841,2178 - 2527,4000,71,13900
162,ВЦ,ВЦ 14-46-25-АИР100S2-04,АИР100S2,250,2345 - 3310,1846 - 2139,4000,78,15600
163,ВЦ,ВЦ 14-46-25-АИР100L2,АИР100L2,250,2462 - 4501,1994 - 2282,5500,72,22200
164,ВЦ,ВЦ 14-46-25-АИР100L2-01,АИР100L2,250,2527 - 4565,2107 - 2459,5500,78,18400
165,ВЦ,ВЦ 14-46-25-АИР100L2-02,АИР100L2,250,2250 - 3999,1812 - 2172,5500,72,20700
166,ВЦ,ВЦ 14-46-25-АИР100L2-03,АИР100L2,250,2751 - 5000,2139 - 2542,5500,73,24600
167,ВЦ,ВЦ 14-46-25-АИР100L2-04,АИР100L2,250,2287 - 4302,1865 - 2229,5500,70,19200
168,ВЦ,ВЦ 14-46-315-АИР71В6,АИР71В6,315,1493 - 2664,320 - 376,550,68,4200
169,ВЦ,ВЦ 14-46-315-АИР71В6-01,АИР71В6,315,1570 - 2870,348 - 379,550,66,4900
170,ВЦ,ВЦ 14-46-315-АИР71В6-02,АИР71В6,315,1408 - 2496,297 - 333,550,68,4600
171,ВЦ,ВЦ 14-46-315-АИР71В6-03,АИР71В6,315,1724 - 3110,359 - 411,550,67,5100
172,ВЦ,ВЦ 14-46-315-АИР71В6-04,АИР71В6,315,1442 - 2628,327 - 369,550,66,5600
173,ВЦ,ВЦ 14-46-315-АИР80А6,АИР80А6,315,1476 - 3429,336 - 353,750,70,4700
174,ВЦ,ВЦ 14-46-315-АИР80А6-01,АИР80А6,315,1597 - 3638,355 - 385,750,67,5200
175,ВЦ,ВЦ 14-46-315-АИР80А6-02,АИР80А6,315,1404 - 3144,310 - 338,750,67,5000
176,ВЦ,ВЦ 14-46-315-АИР80А6-03,АИР80А6,315,1722 - 3885,377 - 412,750,67,4700
177,ВЦ,ВЦ 14-46-315-АИР80А6-04,АИР80А6,315,1428 - 3360,327 - 359,750,68,5400
178,ВЦ,ВЦ 14-46-315-АИР80В4,АИР80В4,315,2301 - 3538,816 - 871,1500,70,7200
179,ВЦ,ВЦ 14-46-315-АИР80В4-01,АИР80В4,315,2483 - 3604,863 - 911,1500,71,8700
180,ВЦ,ВЦ 14-46-315-АИР80В4-02,АИР80В4,315,2096 - 3275,733 - 833,1500,71,8000
181,ВЦ,ВЦ 14-46-315-АИР80В4-03,АИР80В4,315,2588 - 3862,907 - 956,1500,78,9000
182,ВЦ,ВЦ 14-46-315-АИР80В4-04,АИР80В4,315,2290 - 3443,762 - 850,1500,80,9800
183,ВЦ,ВЦ 14-46-315-АИР90L4,АИР90L4,315,2317 - 5150,782 - 870,2200,78,10400
184,ВЦ,ВЦ 14-46-315-АИР90L4-01,АИР90L4,315,2402 - 5324,830 - 873,2200,76,11900
185,ВЦ,ВЦ 14-46-315-АИР90L4-02,АИР90L4,315,2101 - 4762,722 - 785,2200,76,11400
186,ВЦ,ВЦ 14-46-315-АИР90L4-03,АИР90L4,315,2499 - 5639,892 - 957,2200,80,10400
187,ВЦ,ВЦ 14-46-315-АИР90L4-04,АИР90L4,315,2223 - 4999,777 - 839,2200,72,11900
188,ВЦ,ВЦ 14-46-4-АИР90L6,АИР90L6,400,3455 - 5251,554 - 605,1500,73,10900
189,ВЦ,ВЦ 14-46-4-АИР90L6-01,АИР90L6,400,3614 - 5361,561 - 641,1500,77,10700
190,ВЦ,ВЦ 14-46-4-АИР90L6-02,АИР90L6,400,3272 - 4771,518 - 573,1500,76,10200
191,ВЦ,ВЦ 14-46-4-АИР90L6-03,АИР90L6,400,3860 - 5879,598 - 705,1500,71,11300
192,ВЦ,ВЦ 14-46-4-АИР90L6-04,АИР90L6,400,3338 - 5136,540 - 600,1500,78,9200
193,ВЦ,ВЦ 14-46-4-АИР100L6,АИР100L6,400,3573 - 7281,560 - 636,2200,78,14000
194,ВЦ,ВЦ 14-46-4-АИР100L6-01,АИР100L6,400,3774 - 7845,581 - 670,2200,78,13100
195,ВЦ,ВЦ 14-46-4-АИР100L6-02,АИР100L6,400,3299 - 6694,496 - 592,2200,77,12200
196,ВЦ,ВЦ 14-46-4-АИР100L6-03,АИР100L6,400,3861 - 8244,626 - 707,2200,80,12100
197,ВЦ,ВЦ 14-46-4-АИР100L6-04,АИР100L6,400,3383 - 7172,525 - 605,2200,78,11300
198,ВЦ,ВЦ 14-46-4-АИР100L4,АИР100L4,400,5091 - 5958,1293 - 1376,4000,76,18700
199,ВЦ,ВЦ 14-46-4-АИР100L4-01,АИР100L4,400,5474 - 6268,1362 - 1463,4000,79,22600
200,ВЦ,ВЦ 14-46-4-АИР100L4-02,АИР100L4,400,4646 - 5646,1220 - 1286,4000,75,17900
201,ВЦ,ВЦ 14-46-4-АИР100L4-03,АИР100L4,400,5786 - 6878,1508 - 1572,4000,78,21600
202,ВЦ,ВЦ 14-46-4-АИР100L4-04,АИР100L4,400,5164 - 5816,1263 - 1357,4000,76,18100
203,ВЦ,ВЦ 14-46-4-АИР112М4,АИР112М4,400,5256 - 8252,1293 - 1517,5500,72,31200
204,ВЦ,ВЦ 14-46-4-АИР112М4-01,АИР112М4,400,5471 - 8928,1394 - 1612,5500,71,27800
205,ВЦ,ВЦ 14-46-4-АИР112М4-02,АИР112М4,400,4679 - 7618,1182 - 1388,5500,73,25900
206,ВЦ,ВЦ 14-46-4-АИР112М4-03,АИР112М4,400,5767 - 9508,1459 - 1748,5500,76,23900
207,ВЦ,ВЦ 14-46-4-АИР112М4-04,АИР112М4,400,4917 - 7819,1283 - 1519,5500,75,23600
208,ВЦ,ВЦ 14-46-4-АИР132S4,АИР132S4,400,5065 - 9041,1284 - 1506,7500,81,30900
209,ВЦ,ВЦ 14-46-4-АИР132S4-01,АИР132S4,400,5303 - 9047,1355 - 1644,7500,87,40900
210,ВЦ,ВЦ 14-46-4-АИР132S4-02,АИР132S4,400,4774 - 7978,1205 - 1435,7500,79,38600
211,ВЦ,ВЦ 14-46-4-АИР132S4-03,АИР132S4,400,5707 - 9744,1485 - 1781,7500,87,37300
212,ВЦ,ВЦ 14-46-4-АИР132S4-04,АИР132S4,400,5183 - 8483,1297 - 1465,7500,88,31500
213,ВЦ,ВЦ 14-46-5-АИР112МВ6,АИР112МВ6,500,6071 - 8300,961 - 1090,4000,79,28600
214,ВЦ,ВЦ 14-46-5-АИР112МВ6-01,АИР112МВ6,500,6242 - 8782,990 - 1124,4000,75,21000
215,ВЦ,ВЦ 14-46-5-АИР112МВ6-02,АИР112МВ6,500,5494 - 7723,871 - 976,4000,77,27800
216,ВЦ,ВЦ 14-46-5-АИР112МВ6-03,АИР112МВ6,500,6694 - 9540,1094 - 1182,4000,78,28500
217,ВЦ,ВЦ 14-46-5-АИР112МВ6-04,АИР112МВ6,500,5808 - 8307,927 - 1027,4000,73,29100
218,ВЦ,ВЦ 14-46-5-АИР132S6,АИР132S6,500,5851 - 11763,935 - 1118,5500,79,34800
219,ВЦ,ВЦ 14-46-5-АИР132S6-01,АИР132S6,500,6238 - 12071,987 - 1175,5500,75,36400
220,ВЦ,ВЦ 14-46-5-АИР132S6-02,АИР132S6,500,5467 - 10821,885 - 1017,5500,70,32900
221,ВЦ,ВЦ 14-46-5-АИР132S6-03,АИР132S6,500,6595 - 12680,1058 - 1259,5500,73,35100
222,ВЦ,ВЦ 14-46-5-АИР132S6-04,АИР132S6,500,5871 - 11149,938 - 1060,5500,73,31500
223,ВЦ,ВЦ 14-46-5-АИР132М6,АИР132М6,500,5908 - 14643,943 - 1184,7500,83,39700
224,ВЦ,ВЦ 14-46-5-АИР132М6-01,АИР132М6,500,6393 - 15070,1010 - 1222,7500,82,36700
225,ВЦ,ВЦ 14-46-5-АИР132М6-02,АИР132М6,500,5593 - 13192,887 - 1115,7500,80,36100
226,ВЦ,ВЦ 14-46-5-АИР132М6-03,АИР132М6,500,6816 - 16022,1070 - 1342,7500,87,37500
227,ВЦ,ВЦ 14-46-5-АИР132М6-04,АИР132М6,500,5681 - 13807,906 - 1123,7500,78,44100
228,ВЦ,ВЦ 14-46-5-АИР132М4,АИР132М4,500,8798 - 10700,2141 - 2321,11000,80,55400
229,ВЦ,ВЦ 14-46-5-АИР132М4-01,АИР132М4,500,9593 - 11275,2242 - 2436,11000,85,51400
230,ВЦ,ВЦ 14-46-5-АИР132М4-02,АИР132М4,500,8123 - 9848,2078 - 2159,11000,79,50600
231,ВЦ,ВЦ 14-46-5-АИР132М4-03,АИР132М4,500,9822 - 12416,2398 - 2577,11000,87,61600
232,ВЦ,ВЦ 14-46-5-АИР132М4-04,АИР132М4,500,8513 - 10509,2141 - 2268,11000,87,58500
233,ВЦ,ВЦ 14-46-5-АИР160S4,АИР160S4,500,8852 - 14520,2193 - 2491,15000,87,82800
234,ВЦ,ВЦ 14-46-5-АИР160S4-01,АИР160S4,500,9340 - 15336,2325 - 2663,15000,81,73100
235,ВЦ,ВЦ 14-46-5-АИР160S4-02,АИР160S4,500,8163 - 13005,1992 - 2307,15000,80,56600
236,ВЦ,ВЦ 14-46-5-АИР160S4-03,АИР160S4,500,10050 - 16331,2433 - 2755,15000,82,75200
